Article;News_Source;Title;Published_Date;Authors;Keywords;Summary;Text
Article 19;www.bbc.co.uk;Netanyahu vows 'absolute victory' over Hamas ahead of expected pause in fighting;None;;hamas, uns, netanyahu, israel, expected, gaza, thered, pause, victory, absolute, israeli, fourday, deal, fighting, vows, ground, ahead;"Where things standHostage deal: A hotly anticipated hostage deal between Hamas and Israel - which includes a four-day pause to fighting - has been left up in the air.
Hamas had announced there'd be a four-day pause beginning at 10am on Thursday - but an Israeli source has since told the BBC there's been a setback.
It came after a security adviser to the Israeli government said there'd be no Israeli hostages released by Hamas before Friday.
Fighting continues: On the ground, Israel has continued its ground and air operation in Gaza - and Prime Minister Benjamin Netanyahu has vowed to win ""absolute victory"" over Hamas.
Meanwhile, Israeli defence minister Yoav Gallant said Israel is ""slowly but surely"" dismantling the military framework of Hamas.";"Where things stand

Hostage deal: A hotly anticipated hostage deal between Hamas and Israel - which includes a four-day pause to fighting - has been left up in the air. Hamas had announced there'd be a four-day pause beginning at 10am on Thursday - but an Israeli source has since told the BBC there's been a setback.

It came after a security adviser to the Israeli government said there'd be no Israeli hostages released by Hamas before Friday.

Criticism of pause time: Families of those being held in Gaza have said every captive ""needs to come home"", but the UN's Palestinian refugee agency Unrwa said a four-day pause - in which more aid would be allowed to go into the enclave - is simply not enough.

Aid crisis: Lorries carrying aid are now queuing up at the Rafah crossing from Egypt into Gaza in anticipation of the pause in hostilities. Earlier, the executive director of Unicef - the UN's agency for children - said Gaza now faces a crisis of ""child wasting"" - a term used to describe the most life-threatening form of malnutrition.

Fighting continues: On the ground, Israel has continued its ground and air operation in Gaza - and Prime Minister Benjamin Netanyahu has vowed to win ""absolute victory"" over Hamas. Meanwhile, Israeli defence minister Yoav Gallant said Israel is ""slowly but surely"" dismantling the military framework of Hamas.

What happens now? Our colleagues on the ground are continuing to gather information about the hostage deal and what its potential delay means."
Article 20;www.bbc.co.uk;Hostages' fates haunt Israel as war intensifies;None;;haunt, workplaces, walls, war, israel, fates, yearsno, gaza, women, intensifies, hostages, children, months, video, youngest, away;"Their smiling faces look down from the sides of skyscrapers, walls between Tel Aviv's restaurants and bars and a giant video screen at a shopping mall entrance.
More than 240 hostages were snatched at gunpoint on 7 October from their homes or workplaces next to the Gaza Strip, from military bases and a big outdoor dance party.
They included some 30 children, the youngest just nine months old.
But since Hamas gunmen spirited them away to Gaza, the fates of most remain unknown.
""No children, no babies, no older women are meant to be part of any conflict.";"Their smiling faces look down from the sides of skyscrapers, walls between Tel Aviv's restaurants and bars and a giant video screen at a shopping mall entrance.

More than 240 hostages were snatched at gunpoint on 7 October from their homes or workplaces next to the Gaza Strip, from military bases and a big outdoor dance party.

They included some 30 children, the youngest just nine months old. But since Hamas gunmen spirited them away to Gaza, the fates of most remain unknown.

For Israelis reeling from last month's bloody massacres, it is an ongoing trauma.

""This is the last photo we have of my aunt. She was taken on a motorcycle by two terrorists,"" says Eyal Nouri, showing me a picture of Amina Moshe, 72, being driven away from Nir Oz, a kibbutz where she lived for 50 years.

""No children, no babies, no older women are meant to be part of any conflict. It's something against humanity to kidnap children."""
Article 21;www.bbc.co.uk;When this truce ends, the decisive next phase of war begins;None;;begins, phase, war, israel, 16, gaza, statement, agencies, officials, decisive, israels, setting, ends, palestinian, truce, say;"The Gaza Strip is already home to eight refugee camps, which have evolved over the decades into bustling, overcrowded towns.
Israeli officials say it will be up to aid agencies to make sure help reaches al-Mawasi from the Rafah crossing, more than 10km away.
UN officials say the parties include Israel, Hamas and the Palestinian Authority, based in the West Bank.
Without mentioning al-Mawasi by name, the 16 November statement warned that Israel's unilateral proposals could put many lives at risk.
One of the signatories, Dr Tedros Ghebreyesus, director-general of the World Health Organisation, called the plans ""a recipe for disaster"".";"The map shows a patchwork of fields, greenhouses and scattered houses. Although it is hard to be certain, the area defined by Israel is about 2.5km (1.6 miles) wide, at its widest, and just over 4km (2.5 miles) long.

Dr Michael Milshtein, a former adviser on Palestinian affairs to Israel's Coordinator of Government Activities in the Territories (COGAT), calls it ""a beautiful and fruitful place, but quite small"".

Aid agencies take a less generous view.

""It's a tiny piece of land,"" Juliette Touma, director of communications for Unrwa, says. ""There's nothing there. It's just sand dunes and palm trees.""

Any attempt to accommodate hundreds of thousands of displaced people, in an area seemingly lacking in essential infrastructure - there are no hospitals - will present the UN with a mammoth humanitarian challenge, including the setting up of emergency shelter, most likely tents.

It is also a moral challenge with deep historical resonance - much of Gaza's population is descended from refugees who lived in tents after they were expelled or fled Israel in 1948.

The Gaza Strip is already home to eight refugee camps, which have evolved over the decades into bustling, overcrowded towns. The UN doesn't want to be responsible for setting up yet another camp.

Israeli officials say it will be up to aid agencies to make sure help reaches al-Mawasi from the Rafah crossing, more than 10km away. They haven't said how this will work in practice.

US officials are said to be trying to negotiate with Israel over additional safe areas, possibly including one at Dahaniya, at the far southern tip of the Gaza Strip.

Under the terms of the hostage release agreement, which came into effect on Friday, Israel should also allow 200 trucks of aid into Gaza each day, much more than in recent weeks.

But on 16 November, a statement by the heads of 18 UN agencies and NGOs involved in providing assistance to Palestinian civilians appeared to reject Israel's plans outright.

""We will not participate in the establishment of any 'safe zone' in Gaza that is set up without the agreement of all the parties,"" it said.

UN officials say the parties include Israel, Hamas and the Palestinian Authority, based in the West Bank.

Without mentioning al-Mawasi by name, the 16 November statement warned that Israel's unilateral proposals could put many lives at risk.

One of the signatories, Dr Tedros Ghebreyesus, director-general of the World Health Organisation, called the plans ""a recipe for disaster""."
Article 22;www.bbc.co.uk;Israel Gaza: 33 Palestinians released on fourth day of truce;None;;freed, hamas, prisoners, fourth, israel, released, gaza, women, 33, day, release, palestinian, palestinians, israeli, truce;"More Palestinians have been freed from Israeli prisons on the fourth day of a truce between Israel and Hamas.
The release of 33 people means 150 Palestinians have been released since Friday - the day both sides began swapping hostages and prisoners.
Little information has been released about the latest group of Palestinians to be freed.
By the evening, Reuters news agency reported that a bus carrying the newly released Palestinian prisoners had arrived in Ramallah, in the occupied West Bank.
Eitaf Jaradat, one of the three Palestinian women released in the latest exchange, said ""the price of our freedom is seemingly expensive"" as she was welcomed back by her family.";"More Palestinians have been freed from Israeli prisons on the fourth day of a truce between Israel and Hamas.

The release of 33 people means 150 Palestinians have been released since Friday - the day both sides began swapping hostages and prisoners.

Fifty-one Israeli hostages, including three-year-old-twin sisters, have been freed by Hamas as part of the deal.

Qatar has said the pause in fighting will be extended by two days, which Israel has not confirmed or denied.

Little information has been released about the latest group of Palestinians to be freed.

On Monday both Hamas and Qatar - which has played a major role in the talks between the warring sides - said 30 Palestinian children and three women were due to be freed.

The Israel Prison Service later said 33 people had been freed from Ofer prison in the West Bank, and a detention centre in Jerusalem, but did not specify their genders or ages.

By the evening, Reuters news agency reported that a bus carrying the newly released Palestinian prisoners had arrived in Ramallah, in the occupied West Bank.

Images showed people in the Palestinian city, waiting to greet them - some carrying green flags of Hamas, their faces covered with balaclavas.

Separate images showed a Palestinian boy named Muhammad Abu Al-Humus reuniting with his mother, and other family members, at the family's home in East Jerusalem.

Al-Humus called his release ""an indescribable joy"" and kissed his mother's hand, the AFP news agency reports.

It was not immediately clear which facility he had been detained in, or for how long.

Eitaf Jaradat, one of the three Palestinian women released in the latest exchange, said ""the price of our freedom is seemingly expensive"" as she was welcomed back by her family.

""We always hope that we are freed and that our people are in a good situation. But this is our destiny that we were freed while they are on a sea of blood,"" she told Reuters.

Ms Jaradat was arrested in 2021, accused of involvement in a shooting that caused the death of an Israeli settler, according to Reuters.

While fighting between Hamas and Israel is temporarily suspended, aid organisations have taken the opportunity to send lorries into Gaza filled with essentials such as food, water, fuel and medicines.

Hamas has committed to releasing another 20 women and children, should a two-day extension of the truce go ahead.

Israel has not commented explicitly on the extension, but Prime Minister Benjamin Netanyahu's office said on Monday evening that it had ""approved the inclusion of 50 female prisoners in the list of prisoners eligible to be released, in the event that a release of additional Israeli hostages is carried out""."
Article 23;www.bbc.co.uk;Israel says Hamas stages hit-and-run attacks from tunnels;None;;school, stages, hamas, refugee, main, camp, water, israel, video, gaza, killed, attacks, hitandrun, tunnels, israeli;"Israeli forces have encircled the Hamas stronghold of Gaza City, Israel's military says, as it continues its assault on the Gaza Strip.
The Israeli Defence Forces (IDF) said soldiers were engaged in close quarters combat with Hamas fighters staging hit-and-run attacks from tunnels.
At least 20 people were reportedly killed at a school in the Jabalia refugee camp, UNRWA said, while a child was reportedly killed at a school-turned-shelter in the Beach refugee camp.
The Israeli mission to the UN in Geneva called the comments ""deplorable and deeply concerning"" and blamed Hamas for civilian deaths.
Meanwhile, the Lebanese movement Hezbollah said it had attacked 19 targets in Israel simultaneously, in what would be its most intense assault on Israel so far.";"Israeli forces have encircled the Hamas stronghold of Gaza City, Israel's military says, as it continues its assault on the Gaza Strip.

The Israeli Defence Forces (IDF) said soldiers were engaged in close quarters combat with Hamas fighters staging hit-and-run attacks from tunnels.

The UN said four of its schools being used as shelters had been damaged and warned water shortages were worsening.

The Hamas-run health ministry says over 9,000 Palestinians have been killed.

On Thursday the UN Relief and Works Agency (UNRWA) said four of its schools being used as shelters had been damaged in less than 24 hours.

At least 20 people were reportedly killed at a school in the Jabalia refugee camp, UNRWA said, while a child was reportedly killed at a school-turned-shelter in the Beach refugee camp.

The BBC has verified two videos from the schools.

One extremely graphic video, filmed at an elementary school in the Jabalia refugee camp in northern Gaza, shows the aftermath, first outside the main gate of the school and then in the main courtyard.

At least 20 people, either dead or injured, can be seen on the ground, including men, women and children.

The second video, filmed at the main courtyard of a primary school in Beach refugee camp, also in northern Gaza but near the Mediterranean coast, shows a plume of smoke rising from behind the main building of the school.

Several people, including children, run for safety in the courtyard, while some residents of the camp watch from the windows above. A series of explosions can be heard in the background of the video. The last one, the loudest, causes the crowd in the courtyard to flee in panic.

Hamas authorities in Gaza blamed Israeli air strikes. The IDF has not yet commented.

UN-appointed experts have called for a humanitarian ceasefire in Gaza, saying time was running out for Palestinian people there who find themselves at ""grave risk of genocide"".

""The situation in Gaza has reached a catastrophic tipping point,"" they said, warning that a ban on fuel entering Gaza and disruption to water supplies meant people had little access to safe drinking water.

""Water is essential to human life and today, two million Gazans are struggling to find drinking water,"" they said.

The Israeli mission to the UN in Geneva called the comments ""deplorable and deeply concerning"" and blamed Hamas for civilian deaths.

Earlier on Thursday the IDF said it had killed about 130 Hamas fighters.

Israeli PM Benjamin Netanyahu said troops were at ""the height of battle"".

""We've had impressive successes and have passed the outskirts of Gaza City. We are advancing,"" he said in a statement.

A number of foreign nationals were able to leave Gaza after the Rafah crossing with Egypt opened for a second day. President Biden says more than 70 Americans were among them.

But medical aid organisation Doctors Without Borders says more than 20,000 wounded people remained trapped in the territory.

Meanwhile, the Lebanese movement Hezbollah said it had attacked 19 targets in Israel simultaneously, in what would be its most intense assault on Israel so far.

The Israeli military said it was striking a series of Hezbollah targets in Lebanon in response.

It comes a day before a much-anticipated speech by the leader of Hezbollah Hassan Nasrallah, his first public address since the conflict broke out last month."
Article 24;www.bbc.co.uk;Israel-Gaza war: The Red Cross's delicate role in hostage crises;None;;crises, hamas, icrc, cross, crosss, war, israel, red, organisation, released, israelgaza, way, hostages, delicate, role, release, hostage;"With intense focus on the hostages released by Hamas, a quiet but crucial part has been played by an organisation at the centre of their handover, the International Committee of the Red Cross (ICRC).
It has repeatedly called for their release, or at least to allow the ICRC to visit them.
But the organisation said ""the ICRC cannot force its way in to where hostages are held, nor do we know their location"".
The statement reflects frustration in Geneva that not everyone understands what the Red Cross can and cannot do.
Last year it facilitated the release of almost 900 prisoners in Yemen held by Houthi rebels and Saudi-backed government troops.";"With intense focus on the hostages released by Hamas, a quiet but crucial part has been played by an organisation at the centre of their handover, the International Committee of the Red Cross (ICRC).

Footage of the releases shows Red Cross staff, in their distinctive white vests emblazoned with its internationally recognised emblem, taking the hostages from masked gunmen, carefully helping them into their vehicles, giving them first aid and even playing with children in their first moments of freedom.

The organisation was in contact with Hamas ever since it seized about 240 people during its massive attack on Israel on 7 October and took them back to Gaza. It has repeatedly called for their release, or at least to allow the ICRC to visit them.

So far, 58 hostages - 40 Israeli and 12 Thais - have been released to the ICRC. The organisation was not involved in the negotiations around the terms for a release, but was standing by to facilitate the release once those terms had been agreed.

From Israel, there has been some criticism that the ICRC has not done more.

But the organisation said ""the ICRC cannot force its way in to where hostages are held, nor do we know their location"".

The statement reflects frustration in Geneva that not everyone understands what the Red Cross can and cannot do.

It is trying to fulfil its traditional role under the Geneva Conventions, asking to visit the hostages, deliver medical supplies, and bring news to desperate families. None of that can happen unless both Hamas and Israel agree. The ICRC is unarmed, and relies entirely on the trust of the warring parties - and civilians caught up in conflict - to carry out its work.

And in the same way as it has transported hostages out of Gaza, it has also taken to their West Bank homes Palestinian prisoners released by Israel in exchange.

The logistics are a complicated but the ICRC is no stranger to such complexities. Last year it facilitated the release of almost 900 prisoners in Yemen held by Houthi rebels and Saudi-backed government troops."
Article 25;www.bbc.co.uk;Three Israelis killed by Palestinian gunmen at Jerusalem bus stop;None;;war, israel, released, gaza, killed, israelis, gunmen, jerusalem, israeli, bus, palestinian, stop, attack;"Three Israelis were killed and several others injured when two Palestinian gunmen opened fire at a bus stop in West Jerusalem, Israeli police say.
Video showed the gunmen getting out of a car on a highway and shooting at people - in an attack claimed by Hamas.
Off-duty soldiers and a civilian at the scene killed the attackers, who police said were from occupied East Jerusalem.
Mr Blinken earlier commented on the attack in West Jerusalem, calling it a reminder ""of the threat from terrorism that Israel and Israelis face every single day"".
Israeli President Isaac Herzog told his American visitor that the incident was another example of an ""endless war"" Israel was fighting in ""very complicated and challenging times"".";"Three Israelis were killed and several others injured when two Palestinian gunmen opened fire at a bus stop in West Jerusalem, Israeli police say.

Video showed the gunmen getting out of a car on a highway and shooting at people - in an attack claimed by Hamas.

Off-duty soldiers and a civilian at the scene killed the attackers, who police said were from occupied East Jerusalem.

Local media said a fourth civilian who had mistaken for an attacker and shot by the troops died later died.

In its statement saying that two assailants were its members, Hamas said Thursday morning's attack was a response to Israeli ""crimes"" in Gaza and elsewhere.

Israel launched a major military campaign in Gaza after an unprecedented cross-border attack by Hamas gunmen almost eight weeks ago, in which 1,200 people were killed and about 240 taken hostage.

Gaza's Hamas-run government says more than 15,000 people have been killed in the territory since the war began.

A deal mediated by Qatar has led to a pause in the fighting in Gaza since last Friday.

The Jerusalem attack came hours after the Palestinian armed group - which Israel, the UK, US and other Western powers class as a terrorist organisation - agreed with Israel to extend a truce in Gaza for a seventh day, and to allow another exchange of Israeli hostages for Palestinian prisoners.

Eight hostages were released from Gaza on Thursday. Two women - Mia Schem and Amit Soussana - were initially released, followed by a group of six others.

Qatar - a key mediator in the deal - said two Russian-Israeli women released on Wednesday had been included in the following day's tally, meaning the expected number of 10 was reached.

It reiterated that a further 30 Palestinians were due to be released from Israeli jails in return.

Talks have continued in an effort to further prolong the pause in the war. US Secretary of State Antony Blinken is on his third trip to the Middle East since fighting broke out with Hamas's deadly attack on Israel on 7 October.

In a press conference in Tel Aviv on Thursday evening, Mr Blinken called on Israel to put in place ""safe"" zones for Palestinian civilians in central and southern Gaza before resuming any military operations.

The point, he said, was to ""minimise further casualties of innocent Palestinians"".

Mr Blinken earlier commented on the attack in West Jerusalem, calling it a reminder ""of the threat from terrorism that Israel and Israelis face every single day"".

Israeli President Isaac Herzog told his American visitor that the incident was another example of an ""endless war"" Israel was fighting in ""very complicated and challenging times""."
Article 26;www.bbc.co.uk;Inside the West Bank district under harsh Israeli lockdown since Hamas attack;None;;palestinian, hamas, west, lockdown, open, inside, raised, attack, harsh, district, occupied, soldier, h2, door, qafisha, palestinians, israeli, bank;"Fawaz Qafisha cracked his front door open a few inches, stuck his head through the gap and squinted against the sun.
The street outside was almost completely dead, save for an Israeli soldier who was sitting on a garden chair placed opposite Qafisha's house, facing the front door.
Before Qafisha had even adjusted his eyes to the light and spotted us coming down the road towards him, the Israeli soldier had sprung to his feet, raised his rifle halfway and ordered Qafisha back inside.
""This is how it is any time we try to open the door now,"" he said, as we entered.
""We have a door we cannot open and windows we cannot look out from.";"Fawaz Qafisha cracked his front door open a few inches, stuck his head through the gap and squinted against the sun. The street outside was almost completely dead, save for an Israeli soldier who was sitting on a garden chair placed opposite Qafisha's house, facing the front door.

Before Qafisha had even adjusted his eyes to the light and spotted us coming down the road towards him, the Israeli soldier had sprung to his feet, raised his rifle halfway and ordered Qafisha back inside.

The falafel cook, aged 52, gestured for us to hurry.

""This is how it is any time we try to open the door now,"" he said, as we entered.

""We are not even allowed to stand at our windows.""

Qafisha, who was born and raised in Hebron, in the occupied West Bank, is a resident of H2, a dense and heavily fortified district that is home to 39,000 Palestinians and roughly 900 Israeli settlers considered some of the most extreme in the occupied territory. The Palestinians and Israelis of H2 are separated in some places here by just a few feet, and surrounded by cameras, cages, checkpoints, concrete blast walls and rolls of razor wire.

For more than 40 days now, since the Hamas attack on Israel, 11 Palestinian neighbourhoods within H2 - comprising about 750 families - have been under one of the harshest lockdowns imposed on the area for more than 20 years. H2's population is almost entirely Palestinian, but the district is under the total control of the Israeli military, which has for the past few weeks been forcing Palestinian residents back inside their homes at gunpoint.

Qafisha and his family of nine had barely left the house, he said. He did not want to take any risks. ""You saw what happened when you arrived,"" he said. ""We have a door we cannot open and windows we cannot look out from. We do not have any freedom. We are living in fear."""
Article 27;www.bbc.co.uk;Israel-Gaza war: Ceasefire would allow Hamas to regroup, says Blinken;None;;safadi, hamas, region, blinken, allow, war, israel, leaders, talks, israelgaza, ceasefire, bring, arab, regroup;"US Secretary of State Antony Blinken has said an Israeli ceasefire in Gaza would allow Hamas to regroup and carry out further attacks.
But he added that Israel had to take ""every possible measure"" to prevent civilian casualties in the enclave.
Mr Blinken made the comments on Saturday in Jordan after holding talks with Arab leaders, who want an immediate halt to the fighting.
""It cannot be justified under any pretext and it will not bring Israel security, it will not bring the region peace.""
There have been concerns that the war could draw in other regional actors and lead to the destabilisation of the Middle East.";"US Secretary of State Antony Blinken has said an Israeli ceasefire in Gaza would allow Hamas to regroup and carry out further attacks.

But he added that Israel had to take ""every possible measure"" to prevent civilian casualties in the enclave.

Mr Blinken made the comments on Saturday in Jordan after holding talks with Arab leaders, who want an immediate halt to the fighting.

They have accused Israel of committing war crimes.

""We don't accept that it is a self-defence,"" Jordanian Foreign Minister Ayman Safadi said at a news conference with Mr Blinken following the talks, which also involved Saudi Arabia, Qatar, the United Arab Emirates and Egypt.

The US continues to support Israel's right to defend itself against Hamas.

Mr Safadi described the conflict as a ""raging war that is killing civilians, destroying their homes, their hospitals, their schools, their mosques and their churches.""

""It cannot be justified under any pretext and it will not bring Israel security, it will not bring the region peace.""

There have been concerns that the war could draw in other regional actors and lead to the destabilisation of the Middle East.

Mr Blinken, who has been calling for humanitarian pauses in the fighting instead of a ceasefire, said that while the US disagreed with Arab leaders on some of the means to achieve a lasting peace in the region, their goal was the same.

""We all understand that we not only have an interest, but a responsibility to do everything we can to chart a better path forward together,"" he said."
Article 28;www.bbc.co.uk;Israel's Palestinian prisoner release a 'window of hope' in West Bank;None;;prisoners, security, west, told, zughary, hope, window, occupied, israels, lawyers, release, prisoner, palestinian, palestinians, israeli, bank;"The return of 39 Palestinians from Israeli prisons to their homes in the occupied West Bank was never just going to be a family affair.
A quarter of the population of the West Bank has spent time in an Israeli jail; it is a shared experience.
And more than 3,000 people have been arrested since the 7 October attacks - including almost 900 children - according to the Palestinian Prisoners' Club president, Abdallah Zughary.
""Most of them are civilians, not affiliated with any kind of political party or militant group,"" Mr Zughary told me.
A spokesperson for the IPS told the BBC that over the past few weeks, ""four national security prisoners died"" in different circumstances and on different days.";"By nightfall, the road in front of the Beitunia checkpoint had the feel of a restive festival, the sting of politics and tear gas mingling in the air.

Small campfires flickered in front of a handful of green Hamas flags; there were many more Palestinian ones.

The return of 39 Palestinians from Israeli prisons to their homes in the occupied West Bank was never just going to be a family affair.

Israel's jailing of large numbers of people on security grounds is widely seen by Palestinians as a tool of the occupation.

Charges range from murder and violent attacks on Israelis to stone-throwing. Many Palestinians say Israel is criminalising acts of resistance by an occupied people - the Israeli Prison Service (IPS) told the BBC all prisoners are detained ""according to and under the provisions of the law"".

A quarter of the population of the West Bank has spent time in an Israeli jail; it is a shared experience.

And more than 3,000 people have been arrested since the 7 October attacks - including almost 900 children - according to the Palestinian Prisoners' Club president, Abdallah Zughary. Many of these detainees have been placed in administrative detention without charge, he says.

""Most of them are civilians, not affiliated with any kind of political party or militant group,"" Mr Zughary told me.

""Since 7 October, there have been no visits by families or lawyers to prisoners. And six prisoners have died."" He accuses Israel of using the justice system as a ""revenge policy"".

A spokesperson for the IPS told the BBC that over the past few weeks, ""four national security prisoners died"" in different circumstances and on different days. ""We have no knowledge of the causes of death,"" they added.They refused to comment on the suggestion that families and lawyers had not been allowed to visit prisoners."
Article 29;www.bbc.co.uk;Israeli military says its troops have completed encirclement of Gaza City;None;;military, hospitals, threatened, israel, gaza, encirclement, international, way, statement, completed, city, troops, proposals, punishment, president, israeli, saying;"Irish president warns against 'collective punishment' of GazaImage source, Getty ImagesWe've just heard from our correspondent Anthony Zurcher in Ireland, where the US secretary of state's plane is refuelling on the way to Israel.
His arrival come just hours after the country's president, Michael D Higgins, made a vocal intervention warning against the ""collective punishment"" of people living in Gaza.
""The ongoing horrific loss of civilian life in Gaza and Israel has to be addressed,"" Higgins said in a statement.
""When it comes to the protection of children, no other issues should stand in the way for even a minute.""
He concluded that if the world is to move past this conflict, a consistent, diverse body of proposals on the region's future should be put forward.";"Irish president warns against 'collective punishment' of Gaza

Image source, Getty Images

We've just heard from our correspondent Anthony Zurcher in Ireland, where the US secretary of state's plane is refuelling on the way to Israel.

His arrival come just hours after the country's president, Michael D Higgins, made a vocal intervention warning against the ""collective punishment"" of people living in Gaza.

Higgins called on the European Union and the broader international community to put an end to the conflict, saying they have a responsibility of upholding and vindicating international law.

""The ongoing horrific loss of civilian life in Gaza and Israel has to be addressed,"" Higgins said in a statement. ""When it comes to the protection of children, no other issues should stand in the way for even a minute.""

His statement criticised the targeting of hospitals in particular, saying it is ""simply unacceptable that hospitals and those being cared for within them are threatened by the basic lack of resources, damaged or indeed threatened with destruction"".

He concluded that if the world is to move past this conflict, a consistent, diverse body of proposals on the region's future should be put forward.

The proposals, he says, are ""ones that can deliver a reasonable security to citizens of Israel, and at the same time achieve the delivery of the long-neglected rights of the Palestinian people""."
Article 30;www.bbc.co.uk;Untreated diseases could kill more than bombings in Gaza, WHO warns;None;;untreated, hamas, prisoners, gaza, women, bombings, killed, health, children, hostages, day, kill, diseases, warns, israeli;"Untreated diseases could eventually kill more people in Gaza than bombings if the health system is not restored, the World Health Organization says.
Diarrhoea and respiratory infections are widespread among children in overcrowded UN facilities where almost 1.1 million people are sheltering.
The warning comes as a truce between Israel and Hamas entered a fifth day, after a 48-hour extension was agreed.
The deal mediated by Qatar, Egypt and the United States should see an additional 20 Israeli women and children held hostage in Gaza being released in exchange for 60 Palestinian women and teenagers in Israeli prisons.
Nineteen foreign nationals, one of whom has Israeli citizenship, have also been handed over by Hamas under separate agreements.";"Untreated diseases could eventually kill more people in Gaza than bombings if the health system is not restored, the World Health Organization says.

Diarrhoea and respiratory infections are widespread among children in overcrowded UN facilities where almost 1.1 million people are sheltering.

Patients with chronic illnesses like cancer are also receiving no treatment.

The warning comes as a truce between Israel and Hamas entered a fifth day, after a 48-hour extension was agreed.

The deal mediated by Qatar, Egypt and the United States should see an additional 20 Israeli women and children held hostage in Gaza being released in exchange for 60 Palestinian women and teenagers in Israeli prisons.

On Monday, 11 hostages and 33 prisoners were freed on the fourth and final day of the initial agreement, bringing the totals to 50 hostages and 150 prisoners released.

Nineteen foreign nationals, one of whom has Israeli citizenship, have also been handed over by Hamas under separate agreements.

Israel launched a military campaign in Gaza and imposed a siege in response to an unprecedented cross-border attack by Hamas gunmen on 7 October, in which at least 1,200 people were killed and about 240 others taken hostage.

Gaza's Hamas-run government says more than 14,800 people have been killed in the territory since the war began."
Article 31;www.bbc.co.uk;Israel releases 39 Palestinian prisoners after Hamas hands over 17 hostages;None;;hamas, prisoners, return, israel, released, told, 17, 39, hostages, pause, day, israeli, release, hands, palestinian, releases;"Hostages and prisoners released on third day of truceNathan WilliamsLive reporterWe're pausing our live coverage for the next hour or so, so here's a quick recap on where things stand in the Israel-Gaza war.
Both her parents were killed in the 7 October attack by Hamas on Israel that triggered the war.
Israel freed 39 Palestinian prisoners in return.
Hamas has said it is seeking to extend the truce and increase the number of hostages released – 24-hours before the current deal expires.
But he also said that after the framework ends Israel will return to its goals, which include the elimination of Hamas.";"Hostages and prisoners released on third day of truce

Nathan Williams

Live reporter

We're pausing our live coverage for the next hour or so, so here's a quick recap on where things stand in the Israel-Gaza war.

Fourteen Israeli and three foreign nationals were released from Gaza today.

Among them was Abigail Idan, a four-year-old girl with joint Israeli and US citizenship. Both her parents were killed in the 7 October attack by Hamas on Israel that triggered the war.

President Biden welcomed her release, saying she had been through terrible trauma.

Israel freed 39 Palestinian prisoners in return. Crowds gathered in Ramallah in the occupied West Bank to welcome them home.

The exchange comes on the third day of a fragile four-day pause in fighting. Gazans have been using the opportunity to get in much-needed supplies of fuel food and medicine.

The BBC's Lucy Williamson says that both sides appear to be edging towards an extension to the current pause.

Hamas has said it is seeking to extend the truce and increase the number of hostages released – 24-hours before the current deal expires.

And a senior Palestinian official has told the BBC that Hamas told negotiators it was ready to extend the pause by up to four days.

Israeli PM Benjamin Netanyahu has talked about his ""framework"", under which the release of 10 extra hostages could lead to another day of pause in the fighting.

But he also said that after the framework ends Israel will return to its goals, which include the elimination of Hamas.

You can continue to follow our coverage of the conflict with these key stories:"
Article 32;www.bbc.co.uk;Israel's pain still raw a month after Hamas attacks;None;;hamas, military, saw, heavily, security, rocket, raw, gaza, pain, day, israels, month, jewish, attacks, israeli;"It was a day that shattered Israel's sense of its own invincibility and military might, undermining the security felt by every one of its citizens.
When I saw the early morning ""red alerts"" on my phone warning of incoming rocket fire from Gaza, we had no idea of the scale of the assault.
Soon I was struggling to absorb the impact of what I was saying on-air, even as the words left my mouth.
It was to prove to be the deadliest day in Israel's 75-year history with people murdered systematically and ruthlessly.
The raw pain and shock for ordinary Israelis, still evident now, was on full display when I went to Ashkelon on 8 October.";"It was a day that shattered Israel's sense of its own invincibility and military might, undermining the security felt by every one of its citizens.

But it did not seem so extraordinary at the start.

When I saw the early morning ""red alerts"" on my phone warning of incoming rocket fire from Gaza, we had no idea of the scale of the assault. I messaged my colleagues - some of whom were away for the end of the Jewish holidays - to say that I would head to the office.

Soon I was struggling to absorb the impact of what I was saying on-air, even as the words left my mouth.

The intense missile fire which had me running in and out of the office air raid shelter turned out to be a cover for an unprecedented, complex, long-planned series of attacks.

We saw shocking images of Hamas fighters riding motorbikes through holes cut in Gaza's perimeter fence, paragliding into southern Israel, storming heavily fortified military bases and filming themselves in the gardens of overrun kibbutzim.

Over painful hours, partygoers called into Israeli TV stations describing massacres as they hid from gunmen at the now notorious Nova Music Festival. Terrified residents shared videos of armed Palestinian squads on the streets of Sderot.

It was to prove to be the deadliest day in Israel's 75-year history with people murdered systematically and ruthlessly. From some of the kibbutzim close to Gaza, footage later emerged showing the cold-blooded massacre of entire families. Ultimately, some 1,400 are estimated to have been killed.

The significance of the timing was not lost - as this onslaught came almost exactly 50 years after a surprise attack by Egypt and Syria on the holiest day in the Jewish calendar, Yom Kippur, sparked a major regional war.

The raw pain and shock for ordinary Israelis, still evident now, was on full display when I went to Ashkelon on 8 October.

As Israeli security forces continued to battle heavily armed men literally along the road from us, and rocket sirens continued to blare, at the hospital, parents searched tearfully and collapsed in anguish searching for their missing children."
